Website Domain,Ticker,Technology Name,Technology ID,First Seen At,Last Seen At,Behind Firewall
infosys.com,NYSE:INFY,Provar,cefd2220-2787-5fc7-bdfa-1086c40d61d1,2024-09-05T07:36:40Z,2024-09-05T07:36:40Z,TRUE
infosys.com,NYSE:INFY,SAP Business Objects,f9e11089-0fe3-45bd-83f7-084118c3798a,2024-08-23T04:40:49Z,2024-08-23T04:40:49Z,TRUE
samsung.com,NASDAQOTH:SSNLF,Dynatrace RUM,d28deb2c-b108-5c32-a6b6-256db6686418,2024-09-02T10:03:29Z,2024-09-02T10:03:35Z,FALSE
infosys.com,NYSE:INFY,Prometheus,fa864372-dc1e-4db5-97e2-6b591119d6c4,2024-09-03T19:38:41Z,2024-09-03T19:38:41Z,TRUE
infosys.com,NYSE:INFY,Headspin,f3aec17f-8327-4219-88ce-fd9cf8c60285,2024-09-05T10:00:53Z,2024-09-05T10:00:53Z,TRUE
wipro.com,NYSE:WIT,Spring Boot,92bed5c9-d378-4390-9a88-7a05731812ed,2024-08-31T14:29:59Z,2024-09-05T07:57:41Z,TRUE
infosys.com,NYSE:INFY,Apache Flink,75e7ce81-7d73-5a8a-8e1c-039e3ba0ffec,2024-08-16T19:17:55Z,2024-09-01T07:34:01Z,TRUE
wipro.com,NYSE:WIT,Metasploit,053c266d-7852-44a1-a629-a49d434e4526,2024-09-03T06:08:24Z,2024-09-03T06:08:24Z,TRUE
baidu.com,NASDAQ:BIDU,Discord,1be80b6f-2555-4674-9d6d-8f34e1f3c730,2024-09-02T13:54:29Z,2024-09-03T03:51:37Z,TRUE
infosys.com,NYSE:INFY,Tailwind,bd4f74ff-3e30-5353-aadd-8e719d476830,2024-09-03T19:29:17Z,2024-09-03T19:29:17Z,TRUE
rakuten.com,,X-Content-Type-Options,3ee8a45c-4b45-4c85-9564-fe6981802538,2024-06-24T20:25:27Z,2024-08-19T20:47:59Z,FALSE
wipro.com,NYSE:WIT,Robot Framework,a3fe1a18-02d3-4ee0-aeba-9c80c668401a,2024-08-23T03:51:39Z,2024-08-23T03:51:39Z,TRUE
alibaba.com,,Priority Hints,c2cdf986-4b6b-5c8c-a82d-25064f82a4ae,2024-07-30T05:22:15Z,2024-08-05T14:00:57Z,FALSE
lg.com,,Marketo,22773586-a000-5748-aa7b-7bf7ff718c32,2024-07-23T22:04:56Z,2024-07-23T22:04:56Z,TRUE
wipro.com,NYSE:WIT,Nice Call Recording,ff73127a-cc2d-4277-9373-4f16d526ab53,2024-08-29T05:34:24Z,2024-09-03T18:07:24Z,TRUE
infosys.com,NYSE:INFY,Demandbase,727069c3-9186-5088-a5df-fdc6183cc5ec,2024-08-10T16:45:15Z,2024-08-11T20:16:16Z,FALSE
lg.com,,HCL Commerce,0714bb21-077a-5bce-8c04-097626608922,2024-07-22T21:56:18Z,2024-07-24T22:06:00Z,TRUE
wipro.com,NYSE:WIT,Apache NiFi,5f2bebf2-00e3-561a-8fbe-0206e78c1753,2024-09-02T07:49:38Z,2024-09-02T07:49:38Z,TRUE
rakuten.com,,Workday Learning,df7f9fb6-7b42-48d0-b057-4f76bc23ceea,2024-08-29T02:43:01Z,2024-08-29T02:43:01Z,TRUE
wipro.com,NYSE:WIT,Azure Defender,00f3b1f8-2b72-40bf-af40-88fc85501215,2024-08-21T22:22:44Z,2024-08-21T22:22:44Z,TRUE
samsung.com,NASDAQOTH:SSNLF,Express,f57881be-cd18-51c2-98df-2ed67a53f71c,2024-06-09T03:41:06Z,2024-08-09T03:47:05Z,FALSE
